"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4249792602","Software Engineer","b3JnOjg2OTcwNjI3","CubeZoo","https://www.linkedin.com/company/cubezoo/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249792602"
"4248168757","Senior Data Engineer","b3JnOjQ1Nzg1MTc=","RE Partners","https://www.linkedin.com/company/re-partners/life","","","-","EMEA (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4248168757"
"4166223541","Data Engineer – Tech Lead Manager","b3JnOjE2MjQ3","Deloitte","https://www.linkedin.com/company/deloitte/life","","","-","Midrand, Gauteng, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4166223541"
"3969076400","Database Engineer – Century City - South Africa","b3JnOjUxMTEy","WNS","https://www.linkedin.com/company/wns-global-services/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/3969076400"
"4233596950","Cloud Core Maintenance Engineer","b3JnOjcyNzI1Nzk=","BLU by Adcorp","https://www.linkedin.com/company/adcorp-blu/life","","","-","Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4233596950"
"4049921708","Associate Analyst Developer","b3JnOjE3MzU1OQ==","FNZ","https://www.linkedin.com/company/fnz/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4049921708"
"4242072015","AI Support Engineer","b3JnOjE0MzQyNjU3Mg==","Windsurf","https://www.linkedin.com/company/windsurf/life","","","-","Mafube, Free State, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4242072015"
"4228483371","Software Engineer","b3JnOjYxMDk=","MRI Software","https://www.linkedin.com/company/mri-software-llc/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4228483371"
"4232903019","Data Analytics Engineer","b3JnOjE3ODcwNzM=","Scatec ASA","https://www.linkedin.com/company/scatec/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4232903019"
"4246317510","Data Developer","b3JnOjE3NDQ1OA==","Apex Group Ltd","https://www.linkedin.com/company/the-apex-group-ltd/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4246317510"
"4172317784","Backup Engineer","b3JnOjI0Mjc5MQ==","TFG (The Foschini Group)","https://www.linkedin.com/company/foschini/life","","","-","Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4172317784"
"4251664159","Data Engineer","b3JnOjg1MzI4Mjk1","Tribal Tech - The Digital, Data & AI Specialists","https://www.linkedin.com/company/tribal-tech/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4251664159"
"4241104125","Integration Analyst","b3JnOjIzNjk2MTU=","Flash Group","https://www.linkedin.com/company/flashgroup/life","","","-","Western Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4241104125"
